3.410476190,1.1
4.031142856,1.2
4.640476190,1.3
5.235142856,1.4
5.840476190,2.1
6.453809523,2.2
7.048476190,2.3
7.632476190,2.4
8.227142856,3.1
8.825476190,3.2
9.429809523,3.3
10.017976190,3.4
10.605809523,4.1
11.192476190,4.2
11.788476190,4.3
12.365476190,4.4
12.952476190,5.1
13.545809523,5.2
14.116726190,5.3
14.712976190,5.4
15.279226190,6.1
15.856476190,6.2
16.435142856,6.3
17.022976190,6.4
17.607976190,7.1
18.192976190,7.2
18.777976190,7.3
19.368601190,7.4
19.955476190,8.1
20.555476190,8.2
21.147976190,8.3
21.729226190,8.4
22.314226190,9.1
22.902976190,9.2
23.480476190,9.3
24.069226190,9.4
24.654226190,10.1
25.239226190,10.2
25.824226190,10.3
26.427976190,10.4
27.027976190,11.1
27.611101190,11.2
28.205476190,11.3
28.812976190,11.4
29.416726190,12.1
30.012976190,12.2
30.590476190,12.3
31.186726190,12.4
31.779226190,13.1
32.373601190,13.2
32.975476190,13.3
33.579226190,13.4
34.169851190,14.1
34.796101190,14.2
35.382976190,14.3
35.994226190,14.4
36.605476190,15.1
37.201726190,15.2
37.797976190,15.3
38.375476190,15.4
38.979226190,16.1
39.575476190,16.2
40.156726190,16.3
40.751101190,16.4
41.347351190,17.1
41.960476190,17.2
42.562351190,17.3
43.182976190,17.4
43.775476190,18.1
44.396184523,18.2
44.994226190,18.3
45.604705356,18.4
46.201726190,19.1
46.822351190,19.2
47.420476190,19.3
48.024226190,19.4
48.612976190,20.1
49.218601190,20.2
49.841101190,20.3
50.450476190,20.4
51.050476190,21.1
51.667351190,21.2
52.265476190,21.3
52.872976190,21.4
53.478601190,22.1
54.106726190,22.2
54.714226190,22.3
55.332976190,22.4
55.936726190,23.1
56.547976190,23.2
57.161101190,23.3
57.762976190,23.4
58.374226190,24.1
58.996726190,24.2
59.592976190,24.3
60.192976190,24.4
60.804226190,25.1
61.409851190,25.2
62.027726190,25.3
62.639851190,25.4
63.261767856,26.1
63.871726190,26.2
64.486726190,26.3
65.090476190,26.4
65.694226190,27.1
66.323913690,27.2
66.929851190,27.3
67.550038690,27.4
68.180476190,28.1
